Date,AAPL US Equity,ADBE US Equity,AEE US Equity,AEP US Equity,AFL US Equity,AIG US Equity,AIZ US Equity,ALL US Equity,AMAT US Equity,AMT US Equity,AON US Equity,APC US Equity,AVB US Equity,AVGO US Equity,AWK US Equity,AXP US Equity,BAC US Equity,BBT US Equity,BHF US Equity,BHGE US Equity,BK US Equity,BLK US Equity,BRK/A US Equity,C US Equity,CB US Equity,CCI US Equity,CME US Equity,CNP US Equity,COF US Equity,COP US Equity,CRM US Equity,CSCO US Equity,CTSH US Equity,CVX US Equity,D US Equity,DLR US Equity,DUK US Equity,ED US Equity,EOG US Equity,EQIX US Equity,EXC US Equity,FB US Equity,FTI US Equity,GOOGL US Equity,GS US Equity,HAL US Equity,HP US Equity,IBM US Equity,INTC US Equity,INTU US Equity,JPM US Equity,KEY US Equity,KMI US Equity,LNC US Equity,MA US Equity,MET US Equity,MMC US Equity,MPC US Equity,MS US Equity,MSFT US Equity,MTB US Equity,NEE US Equity,NI US Equity,NOV US Equity,NVDA US Equity,OKE US Equity,ORCL US Equity,OXY US Equity,PCG US Equity,PEG US Equity,PFG US Equity,PGR US Equity,PLD US Equity,PNC US Equity,PPL US Equity,PRU US Equity,PSA US Equity,PSX US Equity,PXD US Equity,QCOM US Equity,SCHW US Equity,SLB US Equity,SO US Equity,SPG US Equity,SRE US Equity,STI US Equity,TMK US Equity,TRV US Equity,TXN US Equity,UNM US Equity,USB US Equity,V US Equity,VLO US Equity,WEC US Equity,WFC US Equity,WLTW US Equity,WMB US Equity,WY US Equity,XEL US Equity,XOM US Equity
2015-12-31,105.26,93.94,43.23,58.27,59.9,61.97,80.54,62.09,18.67,96.95,92.21,48.58,184.13,145.15,59.75,69.55,16.83,37.81,70,46.15,41.22,340.52,197800,51.75,116.85,86.45,90.6,18.36,72.18,46.69,78.4,27.155,60.02,89.96,67.64,75.62,71.39,64.27,70.79,302.4,27.77,104.66,29.01,778.01,180.23,34.04,53.55,137.62,34.45,96.5,66.03,13.19,14.92,50.26,97.36,42.9616,55.45,51.84,31.81,55.48,121.18,103.89,19.51,33.49,32.96,24.66,36.53,67.5827,53.19,38.69,44.98,31.8,42.92,95.31,34.13,81.41,247.7,81.8,125.38,49.985,32.93,69.75,46.79,194.44,94.01,42.84,57.16,112.86,54.81,33.29,42.67,77.55,70.71,51.31,54.36,128.6619,25.7,29.98,35.91,77.95
2016-01-04,105.35,91.97,43.03,58.33,59.18,60.43,78.52,60.67,18.47,96.7,90.71,49.13,180.72,142.28,60.32,67.59,16.43,36.65,70,47.25,39.97,333.1,196295,51.13,113.73,85.39,88.67,18.27,70.74,46.88,76.71,26.62,58.13,88.85,67.47,76.2,71.19,64.4,69.68,296.08,27.97,102.22,29.22,759.44,177.14,34.48,54.18,135.95,33.99,94.38,64.06,12.96,15.27,49.1,94.81,42.1685,54.32,51.24,31.48,54.8,117.48,103.57,19.52,34.61,32.37,25.35,35.9,67.3827,52.94,38.7,44.04,31.12,41.9,93.16,33.68,79.84,244.37,80.08,124.35,50.12,31.98,69.18,47.03,192.34,93.18,41.58,56.455,109.97,54.34,32.75,41.48,75.7,69.94,51.32,52.91,124.9798,26.24,29.83,35.7,77.46
2016-01-05,102.71,92.34,43.54,58.81,59.1,60.64,79.83,60.53,18.49,98.61,91.26,48.52,184.88,137.52,60.15,66.55,16.43,36.66,68.95,45.92,39.82,333.96,196999.98,50.86,114.88,87.14,89.37,18.44,69.46,47.4,77.05,26.499,58.13,89.61,68.05,76.29,71.7,64.91,70.13,303.41,28.16,102.73,28.81,761.53,174.09,34.4,53.56,135.85,33.83,95.95,64.1708,12.85,15.58,49.14,94.99,41.3665,54.77,50.6,31.28,55.05,118.13,104.58,19.83,33.62,32.89,25.37,35.7895,68.5023,53.02,38.93,44.14,31.41,42.78,93.29,34.04,79.57,251.27,81,125.17,49.14,31.88,69.5,47.36,196.17,94.29,41.77,57.1467,110.47,53.77,32.58,41.68,76.27,71.16,51.87,52.89,125.84,26.33,29.9,36.06,78.12
2016-01-06,100.7,91.02,43.82,59.03,58.2,59.75,78.78,59.85,17.73,98.26,89.88,43.77,183.5,133.29,59.89,64.71,16.08,36.15,69,43.65,38.82,330.16,197415,50.12,112.74,86.41,88.93,18.21,68.55,45.35,76.29,26.2168,57.13,86.07,68.47,77,71.86,65.22,67.32,309.13,28.19,102.97,27.11,759.33,169.84,33.42,50.48,135.17,33.08,96.29,63.2444,12.62,14.77,46.92,93.54,39.5397,54.11,48.72,30.5,54.05,115.74,104.24,19.94,31.34,31.53,24.22,35.9703,65.4135,52.72,38.61,42.32,31.06,42.55,91.6,33.93,76.92,251.67,78.03,116.15,48.64,30.79,67.7,47.37,195.69,92,41.2,56.044,109.04,53.42,31.69,41.05,75.27,70.66,51.73,51.88,119.98,22.9,29.24,36.44,77.47
2016-01-07,96.45,89.11,43.85,58.35,57.21,58.32,77.01,58.44,17.21,95.81,88.57,40.11,182.66,129.05,59.44,64.1274,15.5,35.12,68.9226,42.52,37.84,315.73,195580,47.56,111.58,84.26,87.53,17.85,65.08,44.06,74.3,25.612,56.64,83.02,68.51,76.78,71.2,65.72,65.46,303.29,27.84,97.92,26.83,741,164.62,32.91,48.51,132.86,31.84,94.74,60.6868,12.18,14.25,45.61,91.827,37.8821,53.7,47.99,28.98,52.17,112.48,104.7,19.5,30.74,30.28,22.78,35.187,64.234,52.46,38.81,40.23,30.53,41.44,89.28,33.54,73.79,249.05,76.45,116.42,46.14,29.18,66.19,46.97,191.56,87,39.48,55.1018,106.44,51.7,30.81,40.27,73.79,72.09,51.72,50.4,114.95,20.61,28.16,36.58,76.23
2016-01-08,96.96,87.85,43.51,58.26,56.71,57.45,76.07,58.23,16.79,94.23,87.02,40.56,179.42,128.2,59.67,63.9164,15.2,34.36,69,41.58,37.15,307.78,193900,46.13,109.96,83.08,86.23,17.81,64.23,43.29,73.23,24.977,55.76,82.13,69.52,77.04,71.04,66.43,65.52,309.79,27.82,97.33,26,730.91,163.94,32.46,47.8,131.63,31.51,93.436,59.3275,11.92,14.77,44.4838,90.073,37.4544,52.95,46.19,28.38,52.33,110.17,105.17,19.47,29.94,29.63,23.05,34.7954,63.1445,52.06,38.42,40.14,30.08,41.07,87.96,33.39,73.05,247.23,75.21,115.84,45.875,29,65.08,46.62,186.1,87.83,38.91,54.5504,105.99,50.36,30.42,39.7,72.88,68.26,51.47,49.56,116.62,20.31,27.9,36.18,74.69
2016-01-11,98.53,89.38,43.52,58.77,57.08,57.69,77.4,58.02,16.68,94.48,86.41,37.75,180.54,128.04,60.25,64.3383,15.31,34.68,69.0842,41.51,37.42,308.32,193060.02,46.85,110.29,83.69,86.95,17.6,64.76,41.12,73.18,25.4709,56.12,80.77,69.41,78.6,71.83,66.31,63.67,312.88,28.06,97.51,25.44,733.07,165.73,31.55,45.74,133.23,32.06,94.299,59.2369,11.94,14.16,43.4381,90.764,37.1692,52.18,45.72,28.46,52.3,109.13,105.58,19.79,29.95,29.68,22.61,35.0866,61.1952,52.23,38.6,39.51,30.64,41.02,88.28,33.89,72.89,249.67,76.18,113.51,46.07,28.74,64.83,46.84,186.71,89.69,38.71,54.5705,106.79,51.21,30.24,39.86,73.92,69.07,51.89,50.09,114.97,18.69,27.61,36.47,73.69
2016-01-12,99.96,89.82,43.38,58.17,57.8,57.96,77.79,58.65,16.75,94.48,87.15,37.33,179.51,129.92,60.19,64.6899,15.31,34.9,68,41.04,37.72,313.59,193999.98,46.88,112.1,84.06,87.25,17.3,65.8,40.25,74.46,25.5516,59.65,82.15,68.9,78.08,71.27,65.5,62.92,314.92,27.94,99.37,25.25,745.34,165.71,31.47,46.03,132.9,32.68,95.151,59.3678,12.05,13.6,43.7397,91.626,37.4188,52.67,46.39,28.46,52.78,110.49,105.38,19.54,30.43,30.18,21.85,35.5184,60.9453,52.56,38.6,39.68,30.73,40.69,89,33.55,73.12,250.17,77.82,113.24,46.52,29.24,64.74,46.45,185.54,88.94,39.39,54.7609,107.98,51.53,30.19,40.62,74.76,71.19,51.55,51.36,115.55,16.54,27.02,36.33,75.2
2016-01-13,97.39,88.3,43.14,57.95,56.91,56.67,78.45,57.91,16.2,92.15,85.91,34.86,177,123.31,60.09,63.1329,14.9,33.72,67.26,39.25,36.46,304.61,190499.5,45.19,110.06,82.78,84.17,17.07,63.64,39,72.35,24.7956,57.77,81.33,69.02,77.63,71.7,66.68,64.3375,305.58,27.54,95.44,24.75,719.57,158.99,30.46,44.94,131.17,31.91,91.991,57.7366,11.68,12.95,42.0103,89.372,38.2386,52.23,42.28,26.89,51.64,106.72,104.62,19.47,29.08,29.26,20.97,34.223,60.3756,52.29,38.78,38.3,30.11,40.5,86.41,33.5,71.82,249.35,75.25,114.2,46.1,27.71,63.95,46.8,184.27,90.24,38.1,53.6483,106.06,49.82,29.27,39.01,73.1,65.03,51.84,49.73,112.85,13.61,26.75,36.11,75.65
2016-01-14,99.52,89.8,43.71,59.14,57.32,57.3,79.33,58.42,16.81,92.21,87.39,35,176.18,125.19,60.88,63.5749,14.99,34.02,66,41.17,37.07,310,192250,45.38,111.02,83.96,84.7,17.63,64.6,41.25,73.07,24.8561,60.205,85.47,69.67,78.36,72.37,67.62,65.4303,310.99,27.91,98.37,25.52,731.39,161.39,31.84,46.63,132.91,32.74,94.62,58.6025,11.83,13.98,41.7388,90.895,38.7644,53.57,43.66,27.15,53.11,107.21,105.69,20,30.51,28.67,22.78,34.936,63.9741,53.41,39.74,38.99,30.22,39.65,87.38,34.16,72.07,249.73,79.28,115.96,47.73,28.12,64.68,47.14,185.66,92.94,38.26,54.0392,106.98,50.03,29.48,39.93,73.8,67.32,53,50.64,114.38,18.29,26.41,36.71,79.12
